date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-22,955.895604690883,955.6217302500162,956.1596540691559,35760809177
2025-03-23,1017.8912523629834,1017.608359109867,1018.1601666372035,35760809177
2025-03-24,1074.5560084278193,1074.294911300679,1074.837968179006,35760809177
2025-03-25,1124.7850851658482,1124.5084353332245,1125.0617366373679,35760809177
2025-03-26,1167.547154972289,1167.2773274065635,1167.8131000342332,35760809177
2025-03-27,1201.9061289074518,1201.6339565385385,1202.1795180215875,35760809177
2025-03-28,1227.0412596504166,1226.747897629989,1227.3059073896684,35760809177
2025-03-29,1242.265112814811,1241.9979893664363,1242.5375743035906,35760809177
2025-03-30,1247.0389970770132,1246.7598979629518,1247.3130820678123,35760809177
2025-03-31,1240.9854998655278,1240.70923371017,1241.2444230099945,35760809177
2024-11-12,1.9983852389044556,1.9983852389035008,1.9983852389054495,3576081009
2024-11-13,1.9999603738250906,1.9999603738241145,1.9999603738260754,3576081009
2024-11-14,2.0015355087457256,2.0015355087447535,2.001535508746724,3576081009
2024-11-15,2.0031106436663606,2.0031106436653507,2.0031106436673443,3576081009
2024-11-16,2.0046857785869956,2.0046857785860004,2.0046857785879246,3576081009
2024-11-17,2.00626091350763,2.006260913506601,2.0062609135086547,3576081009
2024-11-18,2.0078360484282656,2.0078360484272744,2.007836048429294,3576081009
2024-11-19,2.0094111833489,2.0094111833479427,2.0094111833498953,3576081009
2024-11-20,2.010986318269535,2.0109863182685483,2.0109863182705774,3576081009
2024-11-21,2.01256145319017,2.012561453189167,2.012561453191172,3576081009
2024-11-22,2.0141365881108046,2.014136588109772,2.014136588111829,3576081009
2024-11-23,2.01571172303144,2.015711723030406,2.015711723032407,3576081009
2024-11-24,2.0172868579520746,2.017286857951126,2.0172868579531453,3576081009
2024-11-25,2.0188619928727096,2.0188619928717313,2.018861992873698,3576081009
2024-11-26,2.0204371277933446,2.020437127792314,2.0204371277944273,3576081009
2024-11-27,2.0220122627139796,2.0220122627129595,2.0220122627150134,3576081009
2024-11-28,2.0235873976346146,2.0235873976335954,2.0235873976356165,3576081009
2024-11-29,2.025162532555249,2.025162532554228,2.0251625325562985,3576081009
2024-11-30,2.0267376674758846,2.026737667474837,2.0267376674769073,3576081009
2024-12-01,2.028312802396519,2.028312802395521,2.028312802397611,3576081009
2024-12-02,2.0298879373171546,2.0298879373161998,2.029887937318136,3576081009
2024-12-03,2.031463072237789,2.031463072236791,2.0314630722388403,3576081009
